time	time_uncertainty	Event	Temperature	VAS	Target_temperature
17697.2	1.3	Initialised	0	0	0
19553.5	1.9	Measurement	29.6	0	30
20022.4	2.2	Measurement	30.3	0	0
20175.4	2.2	Measurement	30.4	0	0
20327.4	2.8	Measurement	30.4	0	0
20481.4	2.5	Measurement	30.4	0	0
20634.4	2.5	Measurement	30.4	0	0
20787.4	2.6	Measurement	30.4	0	0
20940.2	2.7	Start Sequence	0	0	0
21101.4	2.9	Measurement	30.4	0	0
21257.4	3	Measurement	30.4	0	0
21411.4	3.1	Measurement	30.4	0	0
21565.4	3.1	Measurement	30.4	0	0
21721.4	3.3	Measurement	30.3	0	0
21876.4	3.6	Measurement	30.3	0	0
22032.4	4	Measurement	30.4	0	0
22188.4	3.5	Measurement	30.3	0	0
22344.4	3.9	Measurement	30.3	0	0
22500.4	3.7	Measurement	30.3	0	0
22656.4	3.8	Measurement	30.3	0	0
22812.4	4.3	Measurement	30.3	0	0
22969.4	4.1	Measurement	30.3	0	0
23126.4	4.5	Measurement	30.3	0	0
23283.4	4.3	Measurement	30.3	0	0
23440.4	4.5	Measurement	30.3	0	0
23598.4	4.7	Measurement	30.3	0	0
23755.4	4.8	Measurement	30.3	0	0
23912.8	4.7	Measurement	30.3	0	0
24068.4	4.8	Measurement	30.3	0	0
24225.4	5.4	Measurement	30.3	0	0
24395.5	5.5	Measurement	30.3	0	0
24553.4	5.2	Measurement	30.3	0	0
24711.5	5.4	Measurement	30.3	0	0
24868.4	5.3	Measurement	30.3	0	0
25026.4	6.5	Measurement	30.3	0	0
25185.4	5.8	Measurement	30.3	0	0
25343.4	5.8	Measurement	30.3	0	0
25501.4	5.9	Measurement	30.3	0	0
25659.4	6.4	Measurement	30.3	0	0
25818.4	6	Measurement	30.3	0	0
25976.4	6.4	Measurement	30.3	0	0
26135.4	6.3	Measurement	30.3	0	0
26294.4	6.5	Measurement	30.3	0	0
26453.4	6.6	Measurement	30.3	0	0
26612.8	7.4	Measurement	30.3	0	0
26772.4	7	Measurement	30.3	0	0
26932.4	6.8	Measurement	30.3	0	0
27091.4	6.9	Measurement	30.3	0	0
27250.5	7.4	Measurement	30.2	0	0
27410.4	7.7	Measurement	30.3	0	0
27570.4	7.6	Measurement	30.2	0	0
27731.4	7.5	Measurement	30.2	0	0
27891.4	7.6	Measurement	30.3	0	0
28051.4	7.4	Measurement	30.2	0	0
28211.5	7.6	Measurement	30.3	0	0
28371.4	8.2	Measurement	30.2	0	0
28532.4	7.8	Measurement	30.2	0	0
28692.4	8.8	Measurement	30.2	0	0
28853.5	10.2	Measurement	30.2	0	0
29016.4	8.2	Measurement	30.2	0	0
29177.4	8.5	Measurement	30.2	0	0
29338.4	8.4	Measurement	30.2	0	0
29499.4	8.4	Measurement	30.2	0	0
29660.4	9	Measurement	30.2	0	0
29821.4	9.1	Measurement	30.2	0	0
29982.4	8.7	Measurement	30.2	0	0
30143.4	9	Measurement	30.2	0	0
30304.4	9.4	Measurement	30.2	0	0
30466.4	8.8	Measurement	30.2	0	0
30627.4	9.2	Measurement	30.2	0	0
30789.4	9.5	Measurement	30.2	0	0
30951.4	9.2	Measurement	30.2	0	0
31113.4	9.3	Measurement	30.2	0	0
31275.5	10.1	Measurement	30.2	0	0
31438.4	10.5	Measurement	30.2	0	0
31601.5	9.6	Measurement	30.2	0	0
31764.4	9.7	Measurement	30.2	0	0
31926.4	10	Measurement	30.2	0	0
32088.4	10.1	Measurement	30.2	0	0
32250.4	10.1	Measurement	30.2	0	0
32413.5	10	Measurement	30.2	0	0
32575.7	11	Measurement	30.2	0	0
32739.4	11.2	Measurement	30.2	0	0
32903.4	11.1	Measurement	30.2	0	0
33066.4	10.9	Measurement	30.2	0	0
33229.6	10.9	Measurement	30.2	0	0
33393.4	11.6	Measurement	30.2	0	0
33557.4	11.5	Measurement	30.2	0	0
33721.4	11.4	Measurement	30.2	0	0
33885.4	11.8	Measurement	30.2	0	0
34049.4	11.2	Measurement	30.2	0	0
34213.4	11.3	Measurement	30.2	0	0
34377.4	11.4	Measurement	30.1	0	0
34541.8	12.6	Measurement	30.2	0	0
34706.4	11.8	Measurement	30.1	0	0
34870.5	12.1	Measurement	30.1	0	0
35035.4	12.1	Measurement	30.2	0	0
35200.4	11.9	Measurement	30.2	0	0
35364.4	12	Measurement	30.1	0	0
35528.5	12.6	Measurement	30.1	0	0
35693.4	13.4	Measurement	30.2	0	0
35859.4	12.9	Measurement	30.1	0	0
36024.4	13.1	Measurement	30.1	0	0
36190.4	13.3	Measurement	30.1	0	0
36356.4	13.4	Measurement	30.1	0	0
36522.4	13.4	Measurement	30.1	0	0
36688.4	13.9	Measurement	30.1	0	0
36854.4	15.6	Measurement	30.1	0	0
37022.4	13.5	Measurement	30.1	0	0
37188.4	14.3	Measurement	30.1	0	0
37355.4	13.7	Measurement	30.1	0	0
37521.5	14.4	Measurement	30.1	0	0
37688.4	13.6	Measurement	30.1	0	0
37855.4	15.9	Measurement	30.1	0	0
38023.4	14.4	Measurement	30.1	0	0
38191	14.3	Measurement	30.1	0	0
38357.4	14.7	Measurement	30.1	0	0
38524.6	14.9	Measurement	30.1	0	0
38692.6	15.2	Measurement	30.1	0	0
38860.7	14.7	Measurement	30.1	0	0
39027.6	14.8	Measurement	30.1	0	0
39806.6	15.2	Measurement	30.1	0	35
39974.6	14.9	Measurement	30.2	0	35
40141.7	15.2	Measurement	30.3	0	35
40309.6	15.3	Measurement	30.5	0	35
40476.7	15.3	Measurement	30.7	0	35
40643.6	15.5	Measurement	31	0	35
40810.6	15.5	Measurement	31.2	0	35
40978.6	15.4	Measurement	31.4	0	35
41146.6	15.6	Measurement	31.6	0	35
41314.6	15.8	Measurement	31.8	0	35
41482.6	16	Measurement	32	0	35
41650.6	24.3	Measurement	32.3	0	35
41826.6	16.2	Measurement	32.5	0	35
41994.6	17	Measurement	32.7	0	35
42163.6	16.2	Measurement	32.9	0	35
42331.6	16.5	Measurement	33.1	0	35
42499.7	16.5	Measurement	33.3	0	35
42668.6	16.3	Measurement	33.5	0	35
42849.8	23.3	Measurement	33.7	0	35
43026.3	24.6	Measurement	33.9	0	35
43202.6	18.5	Measurement	34.2	0	35
43373.6	28.2	Measurement	34.4	0	35
43555	35.3	Measurement	34.6	0	35
43742.6	27.4	Measurement	34.8	0	35
43922.9	32.3	Measurement	35	0	35
44117.6	17.6	Measurement	35.2	0	0
44288.6	17.3	Measurement	35.2	0	0
44458.6	17.8	Measurement	35.1	0	0
44629.6	18.1	Measurement	35.1	0	0
44800.6	18.1	Measurement	35.1	0	0
44971.5	18	Measurement	35.1	0	0
45141.6	18.2	Measurement	35.1	0	0
45312.8	18.3	Measurement	35.1	0	0
45483.6	18.7	Measurement	35.1	0	0
45654.6	18.6	Measurement	35.1	0	0
45825.6	18.8	Measurement	35.1	0	0
45997.6	19.2	Measurement	35.1	0	0
46169.6	19	Measurement	35.1	0	0
46341.6	19.2	Measurement	35.1	0	0
46513.6	19.5	Measurement	35.1	0	0
46685.6	19.8	Measurement	35.1	0	0
46857.6	21.2	Measurement	35.1	0	0
47031.6	19.5	Measurement	35.1	0	0
47516.6	20	Measurement	35.1	0	30
47688.6	20.5	Measurement	35	0	30
47860.6	22.3	Measurement	34.8	0	30
48034.6	19.9	Measurement	34.5	0	30
48206.6	20.1	Measurement	34.3	0	30
48378.7	20.8	Measurement	34	0	30
48551.6	20.8	Measurement	33.8	0	30
48724.6	21.4	Measurement	33.6	0	30
48898.6	21.2	Measurement	33.4	0	30
49071.6	20.9	Measurement	33.2	0	30
49244.6	21.2	Measurement	33	0	30
49417.6	20.3	Measurement	32.7	0	30
49589.6	21.5	Measurement	32.5	0	30
49763.6	21.5	Measurement	32.3	0	30
49937.6	21.1	Measurement	32.1	0	30
50110.6	21.8	Measurement	31.8	0	30
50284.6	21.5	Measurement	31.6	0	30
50458.6	21.6	Measurement	31.4	0	30
50632.6	21.3	Measurement	31.2	0	30
50805.6	21.7	Measurement	31	0	30
50979.5	22.2	Measurement	30.7	0	30
51153.6	21.9	Measurement	30.5	0	30
51327.6	22.1	Measurement	30.3	0	30
51501.5	21.5	Measurement	30	0	30
51678.6	23.2	Measurement	29.8	0	35
51853.6	22.7	Measurement	29.7	0	35
52028.9	22.3	Measurement	29.8	0	35
52203.6	22.2	Measurement	30	0	35
52377.6	23.5	Measurement	30.3	0	35
52553.6	22.8	Measurement	30.6	0	35
52728.7	24.1	Measurement	30.8	0	35
52904.6	23.4	Measurement	31	0	35
53079.6	23.5	Measurement	31.3	0	35
53255.6	23.5	Measurement	31.5	0	35
53431.6	23.6	Measurement	31.7	0	35
53607.6	69.3	Measurement	31.9	0	35
53828.8	23	Measurement	32.2	0	35
54003.6	23.9	Measurement	32.4	0	35
54179.6	32.9	Measurement	32.6	0	35
54364.9	56.6	Measurement	32.9	0	35
54575.2	51.6	Measurement	33.1	0	35
54780.9	43.5	Measurement	33.4	0	35
54977.6	32.7	Measurement	33.6	0	35
55162.6	24.6	Measurement	33.9	0	35
55339.6	24.9	Measurement	34.1	0	35
55516.6	25	Measurement	34.3	0	35
55693.6	25.5	Measurement	34.6	0	35
55871.6	24.9	Measurement	34.8	0	35
56048.6	24.8	Measurement	35	0	35
56241.6	25.7	Measurement	35.1	0	0
56419.6	25	Measurement	35.1	0	0
56597.5	26.3	Measurement	35.1	0	0
56776.6	26.3	Measurement	35.1	0	0
56955.6	25.8	Measurement	35.1	0	0
57134.6	25.7	Measurement	35.1	0	0
57313.6	26.4	Measurement	35.1	0	0
57492.6	26.2	Measurement	35.1	0	0
57671.6	27.2	Measurement	35.1	0	0
57851.6	27.3	Measurement	35.1	0	0
58031.6	25.9	Measurement	35	0	0
58210.5	26.9	Measurement	35	0	0
58390.9	27.4	Measurement	35	0	0
58570.6	26.9	Measurement	35	0	0
58750.6	25.7	Measurement	35	0	0
58928.6	27.3	Measurement	35	0	0
59108.6	27.7	Measurement	35	0	0
59907.6	27.1	Measurement	35	0	30
60086.6	27.6	Measurement	35	0	30
60266.6	28	Measurement	34.7	0	30
60446.7	26.9	Measurement	34.5	0	30
60625.6	28.4	Measurement	34.2	0	30
60806.6	28.4	Measurement	34	0	30
60986.6	29	Measurement	33.7	0	30
61167.6	29.3	Measurement	33.5	0	30
61348.6	28.3	Measurement	33.3	0	30
61528.9	28.8	Measurement	33.1	0	30
61709.6	29.1	Measurement	32.8	0	30
61890.6	29.5	Measurement	32.6	0	30
62072.6	29	Measurement	32.4	0	30
62253.6	29.1	Measurement	32.1	0	30
62434.6	29.9	Measurement	31.9	0	30
62616.6	28.9	Measurement	31.7	0	30
62797.6	29	Measurement	31.5	0	30
62978.8	28.7	Measurement	31.2	0	30
63159.6	29.1	Measurement	31	0	30
63340.6	29.7	Measurement	30.8	0	30
63988.6	30.5	Measurement	30	0	0
64171.6	29.9	Measurement	29.9	0	0
64354.6	30.4	Measurement	29.9	0	0
64537.6	31.6	Measurement	30	0	0
64721.6	32.3	Measurement	30	0	0
