time	time_uncertainty	Event	Temperature	VAS	Target_temperature
1715.2	1.1	Initialised	0	0	0
3583.4	2	Measurement	37.9	0	30
3748.4	2.1	Measurement	37.5	0	30
3914.4	2.3	Measurement	36.8	0	30
4081.5	2.2	Measurement	35.9	0	30
4247.4	2.4	Measurement	35.2	0	30
4414.5	2.7	Measurement	34.4	0	30
4580.5	2.6	Measurement	33.6	0	30
4747.4	2.7	Measurement	32.8	0	30
4914.4	2.9	Measurement	32	0	30
5080.4	2.9	Measurement	31.3	0	30
5247.4	3.1	Measurement	30.5	0	30
5431.4	3.1	Measurement	30.1	0	0
5585.2	2.9	Start Sequence	0	0	0
5746.4	3.3	Measurement	30	0	0
5913.4	3.3	Measurement	30	0	0
6079.4	3.5	Measurement	30	0	0
6246.4	3.6	Measurement	30	0	0
6412.5	3.7	Measurement	30	0	0
6579.4	3.8	Measurement	30	0	0
6745.5	3.8	Measurement	30	0	0
6912.4	15.5	Measurement	30	0	0
7095.4	13.3	Measurement	30	0	0
7278.4	4.8	Measurement	30	0	0
7445.5	4.4	Measurement	30	0	0
7611.4	4.5	Measurement	30	0	0
7778.4	4.7	Measurement	30	0	0
7945.4	4.7	Measurement	30	0	0
8111.4	4.8	Measurement	30	0	0
8278.4	5	Measurement	30	0	0
8444.4	4.9	Measurement	30	0	0
8611.4	5.2	Measurement	30	0	0
8777.4	5.2	Measurement	30	0	0
8960.4	5.2	Measurement	30	0	0
9127.4	5.3	Measurement	30	0	0
9294.4	5.4	Measurement	30.1	0	0
9460.4	5.7	Measurement	30	0	0
9627.4	5.6	Measurement	30.1	0	0
9793.4	5.7	Measurement	30.1	0	0
9960.5	7.3	Measurement	30.1	0	0
10143.4	14.6	Measurement	30.1	0	0
10326.5	5.9	Measurement	30.1	0	0
10493.4	6.1	Measurement	30.1	0	0
10659.5	6.2	Measurement	30.1	0	0
10827.4	6.5	Measurement	30.1	0	0
11009.4	6.7	Measurement	30.1	0	0
11175.5	6.5	Measurement	30.1	0	0
11342.4	6.8	Measurement	30.1	0	0
11510	6.7	Measurement	30.1	0	0
11675.4	6.9	Measurement	30.1	0	0
11842.4	6.9	Measurement	30.1	0	0
12008.4	7	Measurement	30.1	0	0
12175.4	7.2	Measurement	30.1	0	0
12341.4	7.4	Measurement	30.1	0	0
12508.4	7.6	Measurement	30.1	0	0
12674.4	7.6	Measurement	30.1	0	0
12857.4	7.8	Measurement	30.1	0	0
13030.5	7.6	Measurement	30.1	0	0
13207.5	7.9	Measurement	30.1	0	0
13374.4	8	Measurement	30.1	0	0
13540.5	8.1	Measurement	30.1	0	0
13707.4	8.3	Measurement	30.1	0	0
13873.4	8.4	Measurement	30.1	0	0
14040.4	8.4	Measurement	30.1	0	0
14206.4	8.5	Measurement	30.1	0	0
14373.4	8.6	Measurement	30.1	0	0
14539.4	8.8	Measurement	30.1	0	0
14706.4	8.7	Measurement	30.1	0	0
14873.5	8.9	Measurement	30.2	0	0
15039.4	8.9	Measurement	30.1	0	0
15206.4	9.3	Measurement	30.1	0	0
15372.5	9.3	Measurement	30.1	0	0
15539.4	9.6	Measurement	30.1	0	0
15705.5	9.7	Measurement	30.2	0	0
15888.4	9.8	Measurement	30.1	0	0
16055.5	9.6	Measurement	30.2	0	0
16222.4	9.8	Measurement	30.2	0	0
16388.4	9.9	Measurement	30.1	0	0
16555.5	9.9	Measurement	30.1	0	0
16721.4	10.3	Measurement	30.2	0	0
16888.4	10.2	Measurement	30.1	0	0
17071.4	10.4	Measurement	30.1	0	0
17254.4	10.3	Measurement	30.2	0	0
17421.4	10.6	Measurement	30.1	0	0
17604.4	10.5	Measurement	30.1	0	0
17787.4	10.8	Measurement	30.2	0	0
17970.4	10.9	Measurement	30.1	0	0
18160.4	10.9	Measurement	30.1	0	0
18337.4	11	Measurement	30.1	0	0
18520.4	11	Measurement	30.2	0	0
18703.4	11.5	Measurement	30.1	0	0
18886.4	11.2	Measurement	30.1	0	0
19069.4	11.6	Measurement	30.1	0	0
19253.4	11.4	Measurement	30.2	0	0
19436.4	11.7	Measurement	30.1	0	0
19619.4	11.7	Measurement	30.2	0	0
19802.4	12.1	Measurement	30.1	0	0
19985.4	11.8	Measurement	30.1	0	0
20168.4	21.6	Measurement	30.1	0	0
20352.4	12.2	Measurement	30.1	0	0
20535.4	12.2	Measurement	30.1	0	0
20718.4	12.7	Measurement	30.2	0	0
20901.4	12.6	Measurement	30.1	0	0
21084.4	22.1	Measurement	30.2	0	0
21268.4	14.4	Measurement	30.1	0	0
21451.4	20.3	Measurement	30.1	0	0
21634.4	14.8	Measurement	30.1	0	0
21817.4	13.2	Measurement	30.2	0	0
22000.4	24.6	Measurement	30.1	0	0
22184.4	13.2	Measurement	30.1	0	0
22367.4	13.6	Measurement	30.1	0	0
22550.4	13.4	Measurement	30.1	0	0
22733.5	13.3	Measurement	30.1	0	0
22916.4	13.7	Measurement	30.1	0	0
23100.4	13.8	Measurement	30.1	0	0
23283.4	13.8	Measurement	30.1	0	0
23466.4	14.1	Measurement	30.1	0	0
23649.4	14.1	Measurement	30.1	0	0
24618.4	14.4	Measurement	31.2	0	35
24798.4	14.5	Measurement	32.2	0	35
24984.4	34.6	Measurement	33.4	0	35
25181.4	15	Measurement	34.5	0	35
25364.4	14.8	Measurement	35.2	0	35
25548.4	15	Measurement	35.4	0	0
25731.4	15.2	Measurement	35.3	0	0
25914.4	15.2	Measurement	35.2	0	0
26097.4	15.3	Measurement	35.2	0	0
26280.4	15.6	Measurement	35.2	0	0
26464.4	15.6	Measurement	35.2	0	0
26647.4	15.9	Measurement	35.2	0	0
26830.4	15.8	Measurement	35.2	0	0
