time	time_uncertainty	Event	Temperature	VAS	Target_temperature
99.7	1.4	Initialised	0	0	0
1965.5	1.9	Measurement	37.9	0	30
2131.4	2	Measurement	37.5	0	30
2298.4	2.1	Measurement	36.7	0	30
2464.4	2.2	Measurement	35.9	0	30
2631.5	2.3	Measurement	35.1	0	30
2797.4	2.5	Measurement	34.3	0	30
2964.6	2.7	Measurement	33.6	0	30
3131.7	2.6	Measurement	32.8	0	30
3297.5	2.7	Measurement	32	0	30
3464.6	3.2	Measurement	31.2	0	30
3630.5	2.9	Measurement	30.4	0	30
3814.8	5.2	Measurement	30	0	0
3970.9	5.2	Measurement	30	0	0
4127.2	3.2	Start Sequence	0	0	0
4296.5	3.5	Measurement	30	0	0
4463.4	3.5	Measurement	30	0	0
4629.4	3.6	Measurement	30	0	0
4796.4	3.7	Measurement	30	0	0
4963.6	3.9	Measurement	30	0	0
5129.4	3.9	Measurement	30	0	0
5296.4	4	Measurement	30	0	0
5462.4	4.2	Measurement	30	0	0
5629.4	4.3	Measurement	30	0	0
5795.4	4.4	Measurement	30	0	0
5962.5	5.9	Measurement	30	0	0
6128.5	4.5	Measurement	30	0	0
6295.4	4.8	Measurement	30	0	0
6461.5	4.7	Measurement	30	0	0
6628.5	4.8	Measurement	30	0	0
6794.5	5.3	Measurement	30	0	0
6961.4	6.7	Measurement	30	0	0
7128.4	5.1	Measurement	30	0	0
7294.5	5.2	Measurement	30	0	0
7461.4	5.5	Measurement	30	0	0
7627.5	5.4	Measurement	30	0	0
7794.6	5.5	Measurement	30	0	0
7960.5	6.9	Measurement	30	0	0
8127.4	5.8	Measurement	30	0	0
8293.5	5.8	Measurement	30.1	0	0
8460.4	6	Measurement	30.1	0	0
8626.5	6.1	Measurement	30.1	0	0
8793.4	6.2	Measurement	30.1	0	0
8959.5	7.6	Measurement	30.1	0	0
9135.4	6.3	Measurement	30.1	0	0
9309.4	6.6	Measurement	30.1	0	0
9476.4	6.6	Measurement	30.1	0	0
9642.9	6.6	Measurement	30.1	0	0
9809.4	6.8	Measurement	30.1	0	0
9975.5	7	Measurement	30.1	0	0
10142.4	7	Measurement	30.1	0	0
10308.4	7.4	Measurement	30.1	0	0
10475.4	7.3	Measurement	30.1	0	0
10641.6	7.4	Measurement	30.1	0	0
10808.4	7.5	Measurement	30.1	0	0
10975.4	7.7	Measurement	30.1	0	0
11141.5	7.6	Measurement	30.1	0	0
11308.4	7.8	Measurement	30.1	0	0
11474.4	7.9	Measurement	30.1	0	0
11641.4	7.9	Measurement	30.1	0	0
11807.5	8	Measurement	30.1	0	0
11974.4	8.3	Measurement	30.1	0	0
12140.5	8.2	Measurement	30.1	0	0
12307.4	8.4	Measurement	30.1	0	0
12473.5	8.5	Measurement	30.1	0	0
12640.5	8.5	Measurement	30.1	0	0
12823.5	8.9	Measurement	30.1	0	0
12990.4	8.8	Measurement	30.1	0	0
13156.5	9	Measurement	30.1	0	0
13323.4	9	Measurement	30.1	0	0
13489.5	9.1	Measurement	30.1	0	0
13656.4	9.3	Measurement	30.1	0	0
13822.5	9.3	Measurement	30.1	0	0
13989.4	9.6	Measurement	30.1	0	0
14155.4	9.7	Measurement	30.1	0	0
14322.4	9.6	Measurement	30.1	0	0
14489.4	12.6	Measurement	30.1	0	0
14672.7	16.5	Measurement	30.1	0	0
14855.4	18.1	Measurement	30.1	0	0
15038.5	11.4	Measurement	30.1	0	0
15221.4	10.2	Measurement	30.1	0	0
15388.4	10.2	Measurement	30.1	0	0
15554.4	10.6	Measurement	30.1	0	0
15731.4	10.5	Measurement	30.1	0	0
15904.5	10.5	Measurement	30.1	0	0
16071.4	10.9	Measurement	30.1	0	0
16254.4	10.7	Measurement	30.1	0	0
16420.5	10.8	Measurement	30.1	0	0
16587.4	10.9	Measurement	30.1	0	0
16753.5	11.3	Measurement	30.1	0	0
16920.5	11.1	Measurement	30.1	0	0
17103.5	11.5	Measurement	30.1	0	0
17270.4	11.4	Measurement	30.1	0	0
17453.4	11.6	Measurement	30.1	0	0
17636.4	11.5	Measurement	30.1	0	0
17819.5	11.6	Measurement	30.1	0	0
17986.4	12	Measurement	30.1	0	0
18169.5	12	Measurement	30.1	0	0
18352.5	11.9	Measurement	30.1	0	0
18535.4	12.2	Measurement	30.1	0	0
18719.4	12.3	Measurement	30.1	0	0
18902.4	12.3	Measurement	30.1	0	0
19085.5	12.3	Measurement	30.1	0	0
19268.5	12.5	Measurement	30.1	0	0
19451.4	12.5	Measurement	30.1	0	0
19635.4	12.7	Measurement	30.1	0	0
19818.4	13.4	Measurement	30.1	0	0
20001.4	13.1	Measurement	30.1	0	0
20184.5	13	Measurement	30.1	0	0
20367.4	13.1	Measurement	30.1	0	0
20551.4	13.3	Measurement	30.1	0	0
20734.4	13.4	Measurement	30.1	0	0
20917.4	13.4	Measurement	30.1	0	0
21100.5	13.5	Measurement	30.1	0	0
21283.5	14	Measurement	30.1	0	0
21466.4	13.8	Measurement	30.1	0	0
21653.5	33.1	Measurement	30.1	0	0
21850.4	14.1	Measurement	30.1	0	0
22033.4	14.2	Measurement	30.1	0	0
22216.4	23.3	Measurement	30.1	0	0
23190.4	14.8	Measurement	31.2	0	35
23365.5	14.7	Measurement	32.2	0	35
23548.5	14.8	Measurement	33.3	0	35
23731.5	14.8	Measurement	34.4	0	35
23915.4	15	Measurement	35.2	0	35
24098.4	15.5	Measurement	35.4	0	0
24281.4	15.5	Measurement	35.3	0	0
24464.5	15.5	Measurement	35.2	0	0
24647.9	36.1	Measurement	35.1	0	0
24847.5	15.4	Measurement	35.2	0	0
25030.5	15.5	Measurement	35.2	0	0
25214.8	16.1	Measurement	35.2	0	0
25397.4	22	Measurement	35.2	0	0
25580.5	24.3	Measurement	35.2	0	0
25764.4	19.9	Measurement	35.2	0	0
25946.4	16.2	Measurement	35.2	0	0
26129.4	16.4	Measurement	35.1	0	0
26313.4	16.7	Measurement	35.1	0	0
26496.4	16.9	Measurement	35.1	0	0
