time	time_uncertainty	Event	Temperature	VAS	Target_temperature
99.9	1.3	Initialised	0	0	0
1967.4	2	Measurement	37.9	0	38
2255.3	1.9	Measurement	38	0	0
2514.3	2	Measurement	38	0	0
2798.3	2.1	Measurement	38	0	0
3064.3	2.2	Measurement	38	0	0
3331.3	2.3	Measurement	38	0	0
3603.2	2.4	Measurement	38	0	0
3880.3	2.5	Measurement	38	0	0
4147.3	2.6	Measurement	38	0	0
4413.3	2.7	Measurement	38	0	0
4679.3	2.7	Measurement	38	0	0
4946.3	2.9	Measurement	38	0	0
5212.3	3	Measurement	38	0	0
5479.3	3.1	Measurement	38	0	0
5745.3	3.2	Measurement	38	0	0
6012.3	3.3	Measurement	38	0	0
6278.3	3.6	Measurement	38	0	0
6545.3	3.4	Measurement	38	0	0
6811.3	3.5	Measurement	38	0	0
7078.3	3.7	Measurement	38	0	0
7344.6	6.7	Measurement	38	0	0
7611.6	6.4	Measurement	38	0	0
7877.6	7.1	Measurement	38	0	0
8144.3	4	Measurement	38	0	0
8410.3	4.1	Measurement	38	0	0
8676.3	4.3	Measurement	38	0	0
8943.3	4.4	Measurement	38	0	0
9209.3	4.5	Measurement	38	0	0
9476.3	4.5	Measurement	38	0	0
9742.3	4.6	Measurement	38	0	0
10009.3	4.7	Measurement	38	0	0
10275.3	5.1	Measurement	38	0	0
10542.3	4.9	Measurement	38	0	0
10808.3	5.4	Measurement	38	0	0
11075.3	5.2	Measurement	38	0	0
11341.3	5.3	Measurement	38	0	0
11607.3	5.4	Measurement	38	0	0
11874.3	5.4	Measurement	38	0	0
12140.3	5.6	Measurement	38	0	0
12407.3	5.6	Measurement	38	0	0
12673.3	5.7	Measurement	38	0	0
12940.3	5.9	Measurement	38	0	0
13206.3	6	Measurement	38	0	0
13473.3	6.1	Measurement	38	0	0
13739.3	6.2	Measurement	38	0	0
14006.3	6.3	Measurement	38	0	0
14272.3	6.5	Measurement	38	0	0
14546.9	25	Measurement	38	0	0
14838.3	6.6	Measurement	38	0	0
15105.3	6.6	Measurement	38	0	0
15371.3	6.7	Measurement	38	0	0
15638.3	6.8	Measurement	38	0	0
15904.3	6.9	Measurement	38	0	0
16171.3	7	Measurement	38	0	0
16437.3	7	Measurement	38	0	0
16704.3	7.1	Measurement	38	0	0
16970.3	7.2	Measurement	38	0	0
17236.3	7.4	Measurement	38	0	0
17503.3	7.5	Measurement	38	0	0
17769.3	7.6	Measurement	38	0	0
18036.3	7.7	Measurement	38	0	0
18302.3	15.7	Measurement	38	0	0
18586.3	15.1	Measurement	38	0	0
18869.3	8.2	Measurement	38	0	0
19135.3	8.4	Measurement	38	0	0
19401.3	8.3	Measurement	38	0	0
19668.3	8.3	Measurement	38	0	0
19934.3	8.4	Measurement	38	0	0
20201.3	8.8	Measurement	38	0	0
20467.3	8.6	Measurement	38	0	0
20734.3	8.9	Measurement	38	0	0
21000.3	8.8	Measurement	38	0	0
21267.3	9.1	Measurement	38	0	0
21533.3	9	Measurement	38	0	0
21800.3	9.2	Measurement	38	0	0
22066.3	9.2	Measurement	38	0	0
22333.3	9.3	Measurement	38	0	0
