time	time_uncertainty	Event	Temperature	VAS	Target_temperature
1628.8	1.1	Initialised	0	0	0
3547.4	1.9	Measurement	38.3	0	30
3713.4	2.1	Measurement	37.9	0	30
3894.5	2.1	Measurement	37.1	0	30
4064.1	2.2	Measurement	36.2	0	30
4230.5	2.4	Measurement	35.4	0	30
4396.5	2.4	Measurement	34.6	0	30
4563.5	2.7	Measurement	33.8	0	30
4729.5	2.6	Measurement	33	0	30
4896.5	2.7	Measurement	32.2	0	30
5062.5	2.9	Measurement	31.4	0	30
5229.5	3	Measurement	30.7	0	30
5413.4	3.1	Measurement	30.3	0	0
5566.2	3	Start Sequence	0	0	0
5719.4	3.2	Measurement	30.3	0	0
5878.4	3.5	Measurement	30.3	0	0
6045.5	3.4	Measurement	30.3	0	0
6212.5	3.6	Measurement	30.3	0	0
6378.5	3.6	Measurement	30.3	0	0
6545.4	3.8	Measurement	30.3	0	0
6711.5	3.8	Measurement	30.3	0	0
6878.4	4	Measurement	30.3	0	0
7044.4	4.2	Measurement	30.3	0	0
7211.4	4.3	Measurement	30.3	0	0
7377.4	4.4	Measurement	30.3	0	0
7544.4	4.4	Measurement	30.3	0	0
7713.6	5.9	Measurement	30.3	0	0
7894.7	4.9	Measurement	30.3	0	0
8077.4	4.7	Measurement	30.3	0	0
8243.5	4.8	Measurement	30.3	0	0
8410.4	4.9	Measurement	30.3	0	0
8576.9	9.1	Measurement	30.3	0	0
8760.4	5.2	Measurement	30.3	0	0
8926.5	5.2	Measurement	30.3	0	0
9093.5	5.3	Measurement	30.3	0	0
9276.5	5.4	Measurement	30.3	0	0
9443	5.4	Measurement	30.3	0	0
9609.4	5.6	Measurement	30.3	0	0
9776.4	5.7	Measurement	30.3	0	0
9942.4	6	Measurement	30.3	0	0
10109.4	5.9	Measurement	30.3	0	0
10276.5	5.9	Measurement	30.3	0	0
10458.5	6.3	Measurement	30.3	0	0
10625.4	6.2	Measurement	30.3	0	0
10791.4	6.5	Measurement	30.3	0	0
10958.5	6.5	Measurement	30.3	0	0
11141.5	6.4	Measurement	30.3	0	0
11308.4	6.6	Measurement	30.4	0	0
