time	time_uncertainty	Event	Temperature	VAS	Target_temperature
1536.8	1.4	Initialised	0	0	0
3397.5	1.8	Measurement	37.9	0	20
3564.4	2	Measurement	37.5	0	20
3730.5	2	Measurement	36.8	0	20
3897.6	3.9	Measurement	36	0	20
4063.5	2.3	Measurement	35.2	0	20
4230.4	2.4	Measurement	34.4	0	20
4396.5	2.5	Measurement	33.6	0	20
4563.5	2.5	Measurement	32.8	0	20
4729.5	2.7	Measurement	32	0	20
4896.5	2.8	Measurement	31.3	0	20
5062.4	3.1	Measurement	30.5	0	20
5229.5	3	Measurement	29.7	0	20
5395.6	3.3	Measurement	29.7	0	20
5562.6	3.2	Measurement	29	0	20
5729.5	3.4	Measurement	28.3	0	20
5895.6	3.4	Measurement	27.5	0	20
6062.6	3.5	Measurement	26.8	0	20
6233.6	3.6	Measurement	26.2	0	20
6395.6	3.7	Measurement	25.5	0	20
6561.6	4	Measurement	24.8	0	20
6728.5	4	Measurement	24.2	0	20
6894.6	4.2	Measurement	23.5	0	20
7061.6	4.3	Measurement	22.9	0	20
7227.6	4.4	Measurement	22.3	0	20
7394.6	4.5	Measurement	21.7	0	20
7560.6	4.6	Measurement	21.1	0	20
7727.6	4.6	Measurement	20.5	0	20

