time	time_uncertainty	Event	Temperature	VAS	Target_temperature
1701	2.2	Initialised	0	0	0
3569.1	2.7	Measurement	37.9	0	30
3736.1	3	Measurement	37.5	0	30
3903.1	2.6	Measurement	36.7	0	30
4070.1	2.6	Measurement	35.9	0	30
4236.1	6.8	Measurement	35.1	0	30
4403.1	2.8	Measurement	34.3	0	30
4570.1	2.6	Measurement	33.5	0	30
4737.1	2.9	Measurement	32.7	0	30
4904.1	3.2	Measurement	31.9	0	30
5070.1	3.1	Measurement	31.1	0	30
5237.1	3.4	Measurement	30.4	0	30
5421.1	3.4	Measurement	30	0	0
5574	3.4	Start Sequence	0	0	0
5754.1	3.6	Measurement	30	0	0
5908.1	3.5	Measurement	30	0	0
6062	3.4	Measurement	30	0	0
6215.1	3.6	Measurement	30	0	0
6369.1	3.4	Measurement	30	0	0
6523	3.7	Measurement	30	0	0
6677.1	3.4	Measurement	30	0	0
6831.1	3.7	Measurement	30	0	0
6985	3.7	Measurement	30	0	0
7139	3.6	Measurement	30	0	0
7293.1	3.8	Measurement	30	0	0
7447	3.8	Measurement	30	0	0
7601	3.9	Measurement	30	0	0
7755	4.2	Measurement	30	0	0
7909	4	Measurement	30	0	0
8063	4.2	Measurement	30	0	0
8217	3.7	Measurement	30	0	0
8371.1	4	Measurement	30	0	0
8525	4.1	Measurement	30	0	0
8679	4.2	Measurement	30	0	0
8833	4.3	Measurement	30	0	0
8987	4.4	Measurement	30	0	0
9142	4.2	Measurement	30	0	0
9296.1	4.5	Measurement	30	0	0
9451	4.6	Measurement	30	0	0
9606	4.6	Measurement	30	0	0
9761.1	4.3	Measurement	30	0	0
9916	4.8	Measurement	30	0	0
10071	4.4	Measurement	30.1	0	0
10226	4.7	Measurement	30.1	0	0
10381.1	4.6	Measurement	30.1	0	0
10536	4.6	Measurement	30.1	0	0
10691	4.7	Measurement	30.1	0	0
10846.1	4.9	Measurement	30.1	0	0
11001	4.9	Measurement	30.1	0	0
11156	5.1	Measurement	30.1	0	0
11311.1	4.8	Measurement	30.1	0	0
11466.1	5.3	Measurement	30.1	0	0
11622	5.4	Measurement	30.1	0	0
11777.1	4.8	Measurement	30.1	0	0
11932.1	5.2	Measurement	30.1	0	0
12088	5.3	Measurement	30.1	0	0
12243	5.5	Measurement	30.1	0	0
12399.1	5.3	Measurement	30.1	0	0
12555.1	5.6	Measurement	30.1	0	0
12711	5.7	Measurement	30.1	0	0
12867.1	5.3	Measurement	30.1	0	0
13023	5.6	Measurement	30.1	0	0
13179	5.8	Measurement	30.1	0	0
13335	5.8	Measurement	30.1	0	0
13491.1	5.6	Measurement	30.1	0	0
13647.1	5.8	Measurement	30.1	0	0
13803	6	Measurement	30.1	0	0
13959.1	6	Measurement	30.1	0	0
14115.1	5.8	Measurement	30.1	0	0
14271	5.8	Measurement	30.1	0	0
14427.1	6	Measurement	30.1	0	0
14583.1	6.2	Measurement	30.1	0	0
14739	6.1	Measurement	30.1	0	0
14895.1	6	Measurement	30.1	0	0
15051	9.8	Measurement	30.1	0	0
15211.1	6.1	Measurement	30.1	0	0
15367.1	6	Measurement	30.1	0	0
15523.1	6	Measurement	30.1	0	0
15679	6.2	Measurement	30.1	0	0
15835.1	5.9	Measurement	30.1	0	0
15991.1	6.4	Measurement	30.1	0	0
16148	6.5	Measurement	30.1	0	0
16305.1	6.6	Measurement	30.1	0	0
16462.1	6.7	Measurement	30.1	0	0
16619	6.6	Measurement	30.1	0	0
16776	6.5	Measurement	30.1	0	0
16933.1	6.7	Measurement	30.1	0	0
17090.1	6.6	Measurement	30.1	0	0
17247	6.6	Measurement	30.1	0	0
17404	6.8	Measurement	30.1	0	0
17561.1	6.9	Measurement	30.1	0	0
17718	6.8	Measurement	30.1	0	0
17875	7.2	Measurement	30.1	0	0
18032.1	7	Measurement	30.1	0	0
18189	7	Measurement	30.1	0	0
18346	7.1	Measurement	30.1	0	0
18503.1	7.2	Measurement	30.1	0	0
18661.1	7.3	Measurement	30.1	0	0
18818.1	7.1	Measurement	30.1	0	0
18976.1	7.4	Measurement	30.1	0	0
19134.1	7.4	Measurement	30.1	0	0
19292	7.4	Measurement	30.1	0	0
19450.1	7.4	Measurement	30.1	0	0
19608.1	7.3	Measurement	30.1	0	0
19766.1	8	Measurement	30.1	0	0
19924	7.2	Measurement	30.1	0	0
20081.1	7.8	Measurement	30.1	0	0
20239	7.3	Measurement	30.1	0	0
20397	7.4	Measurement	30.1	0	0
20555.1	7.9	Measurement	30.1	0	0
20713	8	Measurement	30.1	0	0
20871.1	11.4	Measurement	30.1	0	0
21033.1	7.8	Measurement	30.1	0	0
21191.1	8	Measurement	30.1	0	0
21349	11.8	Measurement	30.1	0	0
21511.1	7.6	Measurement	30.1	0	0
21669.1	8.2	Measurement	30.1	0	0
21827.1	8.4	Measurement	30.1	0	0
21986	8	Measurement	30.1	0	0
22144.1	8.2	Measurement	30.1	0	0
22303	8.4	Measurement	30.1	0	0
22461	8.5	Measurement	30.1	0	0
22620.1	8.5	Measurement	30.1	0	0
22779	8.1	Measurement	30.1	0	0
22937	8.2	Measurement	30.1	0	0
23095.1	8.5	Measurement	30.1	0	0
23254	8.6	Measurement	30.1	0	0
23413	8.6	Measurement	30.1	0	0
23572.1	8.5	Measurement	30.1	0	0
23731.1	8.7	Measurement	30.1	0	0
24354.1	8.5	Measurement	30.1	0	35
24513.1	8.6	Measurement	30.4	0	35
24672.1	8.9	Measurement	31	0	35
24831.1	8.8	Measurement	31.9	0	35
24990.1	8.7	Measurement	32.9	0	35
25149.1	8.6	Measurement	33.8	0	35
25308.1	9	Measurement	34.7	0	35
25467.1	9.3	Measurement	35.3	0	35
25655	9.1	Measurement	35.4	0	0
25814.1	9.6	Measurement	35.3	0	0
25974.1	9.4	Measurement	35.1	0	0
26134	9.5	Measurement	35.1	0	0
26294.1	9.4	Measurement	35.1	0	0
26454.1	9.7	Measurement	35.2	0	0
26614.1	9.5	Measurement	35.2	0	0
26774.1	9.8	Measurement	35.2	0	0
26934	9.6	Measurement	35.2	0	0
27094	9.6	Measurement	35.1	0	0
27254.1	9.5	Measurement	35.2	0	0
27414	9.4	Measurement	35.2	0	0
27574	10	Measurement	35.1	0	0
27734	13.6	Measurement	35.1	0	0
27898.1	9.5	Measurement	35.1	0	0
28058	9.8	Measurement	35.1	0	0
28218.1	9.6	Measurement	35.1	0	0
28378.1	10	Measurement	35.1	0	0
28538	10.2	Measurement	35.1	0	0
28874.1	9.8	Measurement	35.1	0	30
29034.1	9.6	Measurement	34.7	0	30
29194.1	10	Measurement	34	0	30
29354.1	10.3	Measurement	33.2	0	30
29514.1	10	Measurement	32.5	0	30
29674.1	10.3	Measurement	31.8	0	30
29834.1	10.7	Measurement	31	0	30
29995.1	10.5	Measurement	30.3	0	30
30155.1	10.8	Measurement	29.5	0	30
30326.1	14	Measurement	28.9	0	35
30490.1	11	Measurement	28.9	0	35
30651.1	12.6	Measurement	29.6	0	35
30814.1	11.8	Measurement	30.5	0	35
30976.1	10.9	Measurement	31.6	0	35
31137.1	14.2	Measurement	32.5	0	35
31301.1	13.1	Measurement	33.4	0	35
31464.1	10.7	Measurement	34.2	0	35
31625.1	10.5	Measurement	34.9	0	35
31785.1	10.8	Measurement	35.3	0	35
31960.1	11	Measurement	35.3	0	0
32121	10.7	Measurement	35.1	0	0
32282	11.2	Measurement	35.1	0	0
32443.1	15.1	Measurement	35.1	0	0
32609.1	11.5	Measurement	35.1	0	0
32771	11.4	Measurement	35	0	0
32933.1	11.3	Measurement	35	0	0
33095.1	11.7	Measurement	35	0	0
33257.1	11.2	Measurement	35	0	0
33418.1	11	Measurement	35	0	0
33579	11.5	Measurement	35	0	0
33741.1	11.8	Measurement	35.1	0	0
33903.1	11.6	Measurement	35.1	0	0
34065.1	12.1	Measurement	35.1	0	0
34227.1	11.3	Measurement	35	0	0
34389.1	11.5	Measurement	35	0	0
34551.1	11.7	Measurement	35.1	0	0
34713.1	12.2	Measurement	35	0	0
34875	11.8	Measurement	35.1	0	0
35497.1	12	Measurement	35	0	30
