time	time_uncertainty	Event	Temperature	VAS	Target_temperature
1260.5	2.3	Initialised	0	0	0
3119.1	3.1	Measurement	37.9	0	30
3272.1	7.6	Measurement	37.5	0	30
3430.1	2.9	Measurement	36.8	0	30
3583.1	3.1	Measurement	36.1	0	30
3736.1	2.5	Measurement	35.4	0	30
3889.1	2.8	Measurement	34.6	0	30
4042.1	3	Measurement	33.9	0	30
4195.1	2.9	Measurement	33.2	0	30
4348.1	3	Measurement	32.4	0	30
4501.1	3	Measurement	31.7	0	30
4654.1	2.9	Measurement	31	0	30
4807.1	3.5	Measurement	30.4	0	30
4971	3.4	Measurement	30	0	0
5124	3.4	Measurement	29.9	0	0
5277.1	3.2	Measurement	30	0	0
5430	3.5	Measurement	30	0	0
5583	3.5	Measurement	30	0	0
5736.1	3.2	Measurement	30	0	0
5889	3.8	Measurement	30	0	0
6042	3.6	Measurement	30	0	0
6195	3.6	Measurement	30	0	0
6348	3.9	Measurement	30	0	0
6501	3.9	Measurement	30	0	0
6654	3.9	Measurement	29.9	0	0
6807.1	3.7	Measurement	30	0	0
6960	4	Measurement	30	0	0
7113	4.1	Measurement	30	0	0
7267.1	4	Measurement	30	0	0
7421	4	Measurement	30	0	0
7574	8.9	Measurement	30	0	0
7732	4	Start Sequence	0	0	0
7906.1	9	Measurement	30	0	0
8065	4.3	Measurement	30	0	0
8219	4.3	Measurement	30	0	0
8374.1	4.4	Measurement	30	0	0
8529	4.7	Measurement	30	0	0
8684	4.5	Measurement	30	0	0
8839.1	4.2	Measurement	30	0	0
8994	4.7	Measurement	30	0	0
9149	4.5	Measurement	30	0	0
9304	4.5	Measurement	30	0	0
9459.1	4.8	Measurement	30	0	0
9614	4.7	Measurement	30	0	0
9769	4.8	Measurement	30	0	0
9924.1	4.9	Measurement	30.1	0	0
10079	4.6	Measurement	30.1	0	0
10234	4.8	Measurement	30.1	0	0
10389.1	4.8	Measurement	30.1	0	0
10544	5.1	Measurement	30.1	0	0
10699.1	5	Measurement	30.1	0	0
10854	5.1	Measurement	30.1	0	0
11009	5	Measurement	30.1	0	0
11164	5	Measurement	30.1	0	0
11319	5.2	Measurement	30.1	0	0
11474.1	5.1	Measurement	30.1	0	0
11629	5.3	Measurement	30.1	0	0
11785	5.3	Measurement	30.1	0	0
11940.1	5.4	Measurement	30.1	0	0
12096.1	5.1	Measurement	30.1	0	0
12251	5.4	Measurement	30.1	0	0
12407.1	5.4	Measurement	30.1	0	0
12563.1	5.5	Measurement	30.1	0	0
12719.1	5.7	Measurement	30.1	0	0
12875	5.3	Measurement	30.1	0	0
13030	5.6	Measurement	30.1	0	0
13186	5.8	Measurement	30.1	0	0
13342	6	Measurement	30.2	0	0
13498.1	5.8	Measurement	30.1	0	0
13654	5.9	Measurement	30.2	0	0
13810	6	Measurement	30.1	0	0
13966	5.6	Measurement	30.1	0	0
14122	6	Measurement	30.1	0	0
14278	6.1	Measurement	30.1	0	0
14434.1	6.2	Measurement	30.1	0	0
14590.1	6.2	Measurement	30.2	0	0
14746	6.2	Measurement	30.1	0	0
14902.1	6.2	Measurement	30.1	0	0
15058	6.3	Measurement	30.2	0	0
15215	6.2	Measurement	30.2	0	0
15371	6.5	Measurement	30.1	0	0
15528.1	6.6	Measurement	30.1	0	0
15685	6.3	Measurement	30.1	0	0
15841	6.3	Measurement	30.1	0	0
15997.1	11	Measurement	30.1	0	0
16158.1	6.7	Measurement	30.2	0	0
16315	6.7	Measurement	30.1	0	0
16472.1	6.5	Measurement	30.1	0	0
16629.1	6.8	Measurement	30.1	0	0
16786	7	Measurement	30.1	0	0
16943	6.6	Measurement	30.1	0	0
17100.1	6.7	Measurement	30.1	0	0
17257	6.9	Measurement	30.1	0	0
17414	7.1	Measurement	30.1	0	0
17571.1	7	Measurement	30.1	0	0
17728	7.1	Measurement	30.1	0	0
17885	7	Measurement	30.1	0	0
18042.1	7.1	Measurement	30.1	0	0
18200	7.3	Measurement	30.1	0	0
18358	7.3	Measurement	30.1	0	0
18516.1	7.1	Measurement	30.1	0	0
18673	7.2	Measurement	30.1	0	0
18830.1	7.6	Measurement	30.1	0	0
18988	7.5	Measurement	30.1	0	0
19146.1	7.5	Measurement	30.1	0	0
19304	11.9	Measurement	30.1	0	0
19466.1	7.9	Measurement	30.1	0	0
19624.1	7.5	Measurement	30.1	0	0
19782	11.9	Measurement	30.1	0	0
19944.1	7.7	Measurement	30.1	0	0
20102.1	7.8	Measurement	30.1	0	0
20260.1	7.9	Measurement	30.1	0	0
20418	7.8	Measurement	30.1	0	0
20576.1	7.5	Measurement	30.1	0	0
20734	8	Measurement	30.1	0	0
20892	7.9	Measurement	30.1	0	0
21050	7.9	Measurement	30.1	0	0
21208.1	8.1	Measurement	30.1	0	0
21366	8.2	Measurement	30.1	0	0
21524.1	8.3	Measurement	30.1	0	0
21683.1	12.5	Measurement	30.1	0	0
21846	8.4	Measurement	30.1	0	0
22005	8.3	Measurement	30.1	0	0
22163.1	8.1	Measurement	30.1	0	0
22321	8.5	Measurement	30.1	0	0
22480	8.2	Measurement	30.1	0	0
22638.1	8	Measurement	30.1	0	0
22796.1	8.6	Measurement	30.1	0	0
22955	8.8	Measurement	30.1	0	0
23114	8.9	Measurement	30.1	0	0
23273.1	8.7	Measurement	30.1	0	0
23432	8.6	Measurement	30.1	0	0
23591	8.7	Measurement	30.1	0	0
23750.1	9	Measurement	30.1	0	0
23909	9	Measurement	30.1	0	0
24068	8.8	Measurement	30.1	0	0
24227.1	9.1	Measurement	30.1	0	0
24387.1	9.1	Measurement	30.1	0	0
24546	9	Measurement	30.1	0	0
24705.1	8.8	Measurement	30.1	0	0
24864	9.2	Measurement	30.1	0	0
25023.1	9.4	Measurement	30.1	0	0
25183	10.4	Measurement	30.1	0	0
25344.1	9.6	Measurement	30.1	0	0
25504.1	9.4	Measurement	30.1	0	0
25664	13.5	Measurement	30.1	0	0
25828.1	9.7	Measurement	30.1	0	0
26456.1	14.2	Measurement	30.1	0	35
26620.1	9.5	Measurement	30.4	0	35
26780.1	9.6	Measurement	31	0	35
26940.1	9.6	Measurement	31.9	0	35
27100.1	9.6	Measurement	32.9	0	35
27260.1	9.8	Measurement	33.8	0	35
27420.1	13.9	Measurement	34.6	0	35
27584.1	9.7	Measurement	35.2	0	35
27757.1	9.8	Measurement	35.3	0	0
27917.1	10.2	Measurement	35.1	0	0
28078	9.9	Measurement	35	0	0
28238.1	11.2	Measurement	35	0	0
28400.1	10.2	Measurement	35	0	0
28560	10.2	Measurement	35	0	0
28720	9.9	Measurement	35	0	0
28880.1	10.2	Measurement	35	0	0
29041	10.3	Measurement	35	0	0
29201	10.2	Measurement	35	0	0
29361.1	10.1	Measurement	35	0	0
29521	10.7	Measurement	35	0	0
29682	10.2	Measurement	35	0	0
29842	10.4	Measurement	35	0	0
30003	10.6	Measurement	35	0	0
30164	10.6	Measurement	35	0	0
30325.1	10.7	Measurement	35	0	0
30486	15	Measurement	35	0	0
30651.1	22.2	Measurement	35	0	0
30993.1	10.9	Measurement	35	0	30
31154.1	10.7	Measurement	34.6	0	30
31315.1	10.8	Measurement	33.9	0	30
31476.1	15.2	Measurement	33.1	0	30
31641.1	11.1	Measurement	32.4	0	30
31802.1	10.8	Measurement	31.6	0	30
31963.1	11	Measurement	30.9	0	30
32124.1	11	Measurement	30.2	0	30
32285.1	11.4	Measurement	29.5	0	30
32461.1	11.2	Measurement	29	0	35
32622.1	11.1	Measurement	29.1	0	35
32783.1	11.6	Measurement	29.7	0	35
32945.1	11.1	Measurement	30.7	0	35
33106.1	11.5	Measurement	31.6	0	35
33268.1	11.4	Measurement	32.6	0	35
33429.1	11.5	Measurement	33.4	0	35
33591.1	11.4	Measurement	34.2	0	35
33752.1	11.4	Measurement	34.9	0	35
33913.1	11.7	Measurement	35.2	0	35
34079	11.8	Measurement	35.2	0	0
34241	11.7	Measurement	35.1	0	0
34403.1	12.2	Measurement	35	0	0
34566	11.9	Measurement	35	0	0
34728	11.8	Measurement	35	0	0
34890	12.5	Measurement	35	0	0
35053	12	Measurement	35	0	0
35215	12	Measurement	35	0	0
35377	11.9	Measurement	35	0	0
35539	12.1	Measurement	35	0	0
35701	12.2	Measurement	35	0	0
35863	12.1	Measurement	35	0	0
36025.1	12.5	Measurement	35	0	0
36188	12.6	Measurement	35	0	0
36351	12.3	Measurement	35	0	0
36514.1	12.3	Measurement	35	0	0
36677	12.2	Measurement	35	0	0
36839	12.5	Measurement	35	0	0
37002.1	12.5	Measurement	35.1	0	0
37632.1	13.3	Measurement	35	0	30
37795.1	12.9	Measurement	34.6	0	30
37958.1	12.5	Measurement	33.9	0	30
38121.1	13.2	Measurement	33.2	0	30
38284.1	13.2	Measurement	32.4	0	30
38447.1	13	Measurement	31.7	0	30
38610.1	13.2	Measurement	31	0	30
38773.1	12.8	Measurement	30.4	0	30
38950.1	12.6	Measurement	30.2	0	0
39113.1	13.2	Measurement	30.2	0	0
39277	13.1	Measurement	30.3	0	0
39440	13.2	Measurement	30.3	0	0
39603.1	13.3	Measurement	30.3	0	0
39767	13.4	Measurement	30.3	0	0
39931	13.1	Measurement	30.2	0	0
40094.1	13.3	Measurement	30.2	0	0
40258	13.4	Measurement	30.2	0	0
40421	13.3	Measurement	30.3	0	0
40585.1	13.4	Measurement	30.2	0	0
40749	13.4	Measurement	30.2	0	0
40913	13.7	Measurement	30.2	0	0
41077.1	13.9	Measurement	30.2	0	0
41241	13.5	Measurement	30.2	0	0
41405	14.2	Measurement	30.2	0	0
41569.1	13.3	Measurement	30.2	0	0
41733	14	Measurement	30.2	0	0
41897	13.9	Measurement	30.2	0	0
42061.1	14.3	Measurement	30.2	0	0
42226.1	13.7	Measurement	30.2	0	0
42390	13.9	Measurement	30.2	0	0
42554.1	13.7	Measurement	30.2	0	0
42718.1	14	Measurement	30.2	0	0
42882.1	14.3	Measurement	30.2	0	0
43047	13.9	Measurement	30.2	0	0
43211.1	14	Measurement	30.3	0	0
43375.1	14.5	Measurement	30.3	0	0
43540.1	14.5	Measurement	30.3	0	0
43705.1	14.4	Measurement	30.3	0	0
43870.1	14.5	Measurement	30.3	0	0
44035	14.1	Measurement	30.3	0	0
44199.1	14.2	Measurement	30.3	0	0
44364.1	14.9	Measurement	30.3	0	0
44529	14.5	Measurement	30.3	0	0
44694.1	14.9	Measurement	30.3	0	0
44859	14.3	Measurement	30.3	0	0
45023	14.5	Measurement	30.3	0	0
45188.1	14.8	Measurement	30.3	0	0
45353	14.8	Measurement	30.3	0	0
45518	14.7	Measurement	30.3	0	0
45683.1	19	Measurement	30.3	0	0
45853.1	14.8	Measurement	30.3	0	0
46018	14.5	Measurement	30.3	0	0
46183.1	15.2	Measurement	30.3	0	0
46349	15	Measurement	30.3	0	0
46514.1	15.1	Measurement	30.3	0	0
46679	15.1	Measurement	30.3	0	0
46844	15.2	Measurement	30.3	0	0
47009	14.9	Measurement	30.3	0	0
47174.1	14.8	Measurement	30.3	0	0
47339	15.2	Measurement	30.3	0	0
47504.1	20	Measurement	30.3	0	0
47674.1	15.4	Measurement	30.3	0	0
47840.1	15.4	Measurement	30.3	0	0
48006	20.2	Measurement	30.3	0	0
48177	15.6	Measurement	30.3	0	0
48343.1	15.6	Measurement	30.3	0	0
48509.1	15.9	Measurement	30.3	0	0
48675.1	15.5	Measurement	30.3	0	0
48841.1	15.4	Measurement	30.3	0	0
49007	15.5	Measurement	30.3	0	0
49173	15.8	Measurement	30.3	0	0
49339.1	15.7	Measurement	30.3	0	0
49505	16.3	Measurement	30.3	0	0
49671	15.7	Measurement	30.3	0	0
49837	16	Measurement	30.3	0	0
50003	16	Measurement	30.3	0	0
50169	16	Measurement	30.3	0	0
50335.1	16.5	Measurement	30.3	0	0
50502	16.2	Measurement	30.3	0	0
50668	16.2	Measurement	30.3	0	0
50834	16.2	Measurement	30.3	0	0
51000	16.1	Measurement	30.3	0	0
51166	16	Measurement	30.3	0	0
51332.1	21.4	Measurement	30.3	0	0
51504	21.4	Measurement	30.3	0	0
51676.1	20.8	Measurement	30.3	0	0
51847.1	16.2	Measurement	30.3	0	0
52014	16.4	Measurement	30.3	0	0
52181	16.6	Measurement	30.3	0	0
52348.1	16.7	Measurement	30.3	0	0
52515	16.7	Measurement	30.3	0	0
52682	16.8	Measurement	30.3	0	0
52849.1	16.9	Measurement	30.3	0	0
53016	16.7	Measurement	30.3	0	0
53183	16.9	Measurement	30.3	0	0
