time	time_uncertainty	Event	Temperature	VAS	Target_temperature
214.2	1.3	Initialised	0	0	0
2084.5	1.8	Measurement	38	0	30
2239.6	2	Measurement	37.9	0	30
2394.5	2	Measurement	37.8	0	30
2548.4	2.3	Measurement	37.6	0	30
2708.5	2.3	Measurement	37.4	0	30
2863.5	2.5	Measurement	37.2	0	30
3018.4	2.5	Measurement	37.1	0	30
3173.4	2.7	Measurement	36.9	0	30
3328.4	2.9	Measurement	36.8	0	30
3483.5	2.7	Measurement	36.6	0	30
3639.2	3.4	Measurement	36.5	0	30
3799.5	3	Measurement	36.3	0	30
3954.5	3.3	Measurement	36.1	0	30
4110.5	3.2	Measurement	36	0	30
4266.5	3.4	Measurement	35.8	0	30
4422.4	3.7	Measurement	35.6	0	30
4578.5	4	Measurement	35.5	0	30
4734.5	3.6	Measurement	35.3	0	30
4890.4	4.3	Measurement	35.1	0	30
5047.5	3.9	Measurement	35	0	30
5203.5	4.2	Measurement	34.8	0	30
5360.5	4.2	Measurement	34.6	0	30
5517.4	4.2	Measurement	34.5	0	30
5674.4	5	Measurement	34.3	0	30
5831.4	4.5	Measurement	34.2	0	30
5988.5	4.8	Measurement	34	0	30
6145.5	4.8	Measurement	33.8	0	30
6302.4	5.1	Measurement	33.7	0	30
6460.4	5	Measurement	33.5	0	30
6617.4	5.1	Measurement	33.3	0	30
6774.5	5.9	Measurement	33.1	0	30
6932.5	5.4	Measurement	33	0	30
7090.4	5.4	Measurement	32.8	0	30
7248.5	5.4	Measurement	32.7	0	30
7406.5	6	Measurement	32.5	0	30
7564.5	5.6	Measurement	32.3	0	30
7722.5	6.1	Measurement	32.2	0	30
7880.5	5.8	Measurement	32	0	30
8038.5	8	Measurement	31.8	0	30
8198.4	6	Measurement	31.7	0	30
8356.8	10.4	Measurement	31.5	0	30
8519.9	10.4	Measurement	31.3	0	30
8685.5	10.7	Measurement	31.2	0	30
8848.8	9.9	Measurement	31	0	30
9011.5	11.6	Measurement	30.8	0	30
9498.4	6.8	Measurement	30.3	0	0
9656.2	7.4	Start Sequence	0	0	0
9826.4	7.1	Measurement	30.1	0	0
9987.4	9.1	Measurement	30.1	0	0
10149.4	7.4	Measurement	30.1	0	0
10310.4	7.5	Measurement	30.1	0	0
10470.4	8.2	Measurement	30.1	0	0
10631.4	7.7	Measurement	30.1	0	0
10792.4	7.8	Measurement	30.1	0	0
10953.4	8.1	Measurement	30.1	0	0
11114.4	8	Measurement	30.1	0	0
11275.7	8.1	Measurement	30.1	0	0
11436.4	9.4	Measurement	30.1	0	0
11622.2	9.4	Measurement	30.1	0	0
11784.5	8.5	Measurement	30.1	0	0
11946.4	8.5	Measurement	30.1	0	0
12107.6	9.2	Measurement	30.1	0	0
12269.4	9.4	Measurement	30.1	0	0
12431.4	8.7	Measurement	30.1	0	0
12593.4	9	Measurement	30.1	0	0
12755.4	9.2	Measurement	30.1	0	0
12917.4	10	Measurement	30.1	0	0
13080.4	10	Measurement	30.1	0	0
13243.4	9.3	Measurement	30.1	0	0
13405.5	55.7	Measurement	30.1	0	0
13614.4	9.4	Measurement	30.1	0	0
13776.4	9.5	Measurement	30.1	0	0
13938.5	10.4	Measurement	30.1	0	0
14101.4	10.5	Measurement	30.1	0	0
14264.4	9.8	Measurement	30.1	0	0
14427.4	9.9	Measurement	30.1	0	0
14590.5	11.9	Measurement	30.1	0	0
14759.2	10.2	Measurement	30.1	0	0
15541.6	10.5	Measurement	30.1	0	35
15704.6	10.9	Measurement	30.2	0	35
15867.6	11.2	Measurement	30.3	0	35
16031.6	11.2	Measurement	30.5	0	35
