time	time_uncertainty	Event	Temperature	VAS	Target_temperature
1507.2	1.5	Initialised	0	0	0
3366.4	2.1	Measurement	38	0	38
3751.3	2.1	Measurement	38	0	0
4114.4	2.7	Measurement	38	0	0
4481.3	2.2	Measurement	38	0	0
4847.3	2.4	Measurement	38	0	0
5232.3	2.5	Measurement	38	0	0
5597.3	2.7	Measurement	38	0	0
5963.3	2.7	Measurement	38	0	0
6329.3	3.8	Measurement	38.1	0	0
6647.3	3.1	Initiate Peak	38.1	0	39
7354.4	3.2	Measurement	38.5	0	39
7712.4	3.6	Measurement	38.9	0	39
7760.7	3.4	Peak Temperature	38.9	0	39
8066.6	3.6	Measurement	0	0	38
8228.5	4.2	Measurement	38	0	38
8594.3	4.2	Measurement	38	0	0
8961.4	4.3	Measurement	38.1	0	0
9328.4	5.3	Measurement	38.1	0	0
9693.3	5.6	Measurement	38.1	0	0
10060.4	4.9	Measurement	38.1	0	0
10377.3	5	Initiate Peak	38.1	0	40
11085.3	4.7	Measurement	38.1	0	40
11459.4	5.1	Measurement	38.5	0	40
11825.4	6	Measurement	40	0	40
11857.6	5.1	Peak Temperature	40	0	40
12164.8	5.5	Measurement	0	0	38
12324.6	5.9	Measurement	38.8	0	38
12691.4	6.3	Measurement	38.2	0	0
13057.4	6.1	Measurement	38	0	0
13425.4	5.9	Measurement	38.1	0	0
13790.4	6.4	Measurement	38.1	0	0
14157.4	6.5	Measurement	38.1	0	0
14523.4	6.3	Measurement	38.1	0	0
14889.4	6.4	Measurement	38.1	0	0
15207.3	6.9	Initiate Peak	38.1	0	41
15917.4	6.5	Measurement	38.1	0	41
16288.4	6.7	Measurement	38.5	0	41
16655.4	6.8	Measurement	39.3	0	41
17021.4	7	Measurement	40.9	0	41
17053.6	6.9	Peak Temperature	40.9	0	41
17362.7	8.9	Measurement	0	0	38
17537.6	7.5	Measurement	40.2	0	38
17704.6	7.6	Measurement	39.4	0	38
17870.6	7.7	Measurement	38.7	0	38
18238.8	17	Measurement	38.2	0	0
18621.4	7.9	Measurement	38	0	0
18986.4	8.3	Measurement	38.1	0	0
19353.4	8.2	Measurement	38.1	0	0
19727.9	15.4	Measurement	38.1	0	0
20053.4	16.1	Initiate Peak	38.1	0	42
20773.4	9.8	Measurement	38.1	0	42
21151.4	8.8	Measurement	38.6	0	42
21518.4	8.8	Measurement	39.4	0	42
21884.4	8.9	Measurement	40.2	0	42
22250.4	9.1	Measurement	41.8	0	42
22617.3	9.4	Measurement	41.9	0	42
22649.3	9.2	Peak Temperature	41.9	0	42
22960.6	10	Measurement	0	0	38
23133.6	9.8	Measurement	39.8	0	38
23299.6	10.1	Measurement	39	0	38
23466.6	9.8	Measurement	38.4	0	38
23832.4	10.2	Measurement	38.1	0	0
24199.4	9.9	Measurement	38.1	0	0
24567.3	10.4	Measurement	38.2	0	0
24932.4	10.4	Measurement	38.2	0	0
25298.4	10.3	Measurement	38.2	0	0
25664.5	10.6	Measurement	38.2	0	0
25982.3	10.9	Initiate Peak	38.2	0	43
26696.5	11.6	Measurement	38.2	0	43
27063.4	11	Measurement	38.6	0	43
27430.4	11.3	Measurement	39.5	0	43
27796.4	11.3	Measurement	40.3	0	43
28163.4	12.2	Measurement	41	0	43
28546.3	11.7	Measurement	42.6	0	43
28920.4	12.2	Measurement	42.9	0	43
28961.1	11.5	Peak Temperature	42.9	0	43
29274.6	13.2	Measurement	0	0	38
29445.6	13.5	Measurement	41	0	38
29628.5	12.6	Measurement	40.2	0	38
29811.6	12.4	Measurement	39.3	0	38
29994.6	13.6	Measurement	38.6	0	38
30377.4	12.8	Measurement	38.2	0	0
30761.4	12.8	Measurement	38.2	0	0
31144.4	13.1	Measurement	38.3	0	0
31528.4	14	Measurement	38.3	0	0
31910.4	14.2	Measurement	38.2	0	0
32293.4	13.2	Measurement	38.2	0	0
32676.4	13.6	Measurement	38.2	0	0
33059.4	13.9	Measurement	38.2	0	0
33442.4	14.8	Measurement	38.2	0	0
33825.4	14.6	Measurement	38.2	0	0
34208.4	14	Measurement	38.2	0	0
34591.4	13.8	Measurement	38.3	0	0
34925.3	14.7	Initiate Peak	38.3	0	44
35643.4	14.8	Measurement	38.3	0	44
36023.4	15.7	Measurement	38.7	0	44
36406.4	15.8	Measurement	39.6	0	44
36789.4	14.6	Measurement	40.4	0	44
37172.4	15	Measurement	41.3	0	44
37555.4	15.4	Measurement	42.1	0	44
37940.4	16	Measurement	43.7	0	44
38321.4	16.2	Measurement	43.9	0	44
38370.5	15	Peak Temperature	43.9	0	44
38687.6	16.9	Measurement	0	0	38
38871.6	16.4	Measurement	41.8	0	38
39054.6	16.2	Measurement	41	0	38
39237.7	17.2	Measurement	40.1	0	38
39420.6	16.3	Measurement	39.2	0	38
39603.6	17.5	Measurement	38.5	0	38
39987.6	18.6	Measurement	38.2	0	0
40370.4	16.9	Measurement	38.3	0	0
40753.4	17	Measurement	38.3	0	0
41136.4	17	Measurement	38.3	0	0
41519.4	17.8	Measurement	38.3	0	0
41853.3	18.2	Initiate Peak	38.3	0	45
42575.3	17.9	Measurement	38.3	0	45
42951.4	17.4	Measurement	38.7	0	45
43334.4	17.4	Measurement	39.6	0	45
43733.4	18.5	Measurement	40.4	0	45
44117.4	17.4	Measurement	41.3	0	45
44500.4	17.4	Measurement	42.1	0	45
44883.4	26.8	Measurement	42.9	0	45
45266.4	19.2	Measurement	44.5	0	45
45649.4	18.7	Measurement	45	0	45
45698.2	17.6	Peak Temperature	45	0	45
46016.5	19.5	Measurement	0	0	38
46198.7	18.7	Measurement	43.1	0	38
46382.6	18.8	Measurement	42.2	0	38
46565.5	377.8	Measurement	41.3	0	38
47106.6	20.4	Measurement	40.4	0	38
47281.8	19.6	Measurement	38.3	0	38
47664.5	19.8	Measurement	38.3	0	0
48046.4	19.4	Measurement	38.3	0	0
48432.4	191.6	Measurement	38.3	0	0
48929.5	20.6	Initiate Peak	38.3	0	46
49651.4	20.7	Measurement	38.3	0	46
50029.6	20.8	Measurement	38.8	0	46
50414.5	20.5	Measurement	39.6	0	46
50794.4	20.1	Measurement	40.5	0	46
51177.6	26.2	Measurement	41.3	0	46
51561.4	21.6	Measurement	42.1	0	46
51945.5	21.5	Measurement	42.9	0	46
52326.4	21.6	Measurement	43.7	0	46
52709.3	39	Measurement	44.6	0	46
53109.4	22.2	Measurement	45.9	0	46
53159.1	20.4	Peak Temperature	45.9	0	46
53479.7	22	Measurement	0	0	38
53658.6	22.3	Measurement	44.4	0	38
53841.6	21.5	Measurement	43.5	0	38
54025.6	23	Measurement	42.6	0	38
54208.6	21.9	Measurement	41.7	0	38
54391.6	22.6	Measurement	40.8	0	38
54574.6	23.4	Measurement	39.9	0	38
54757.6	22.6	Measurement	38.9	0	38
55141.4	23.4	Measurement	38.4	0	0
55524.4	23.4	Measurement	38.3	0	0
55907.4	23	Measurement	38.4	0	0
56290.4	22.8	Measurement	38.4	0	0
56673.4	23.9	Measurement	38.4	0	0
57056.4	23	Measurement	38.4	0	0
57439.4	24.2	Measurement	38.4	0	0
57822.4	24	Measurement	38.4	0	0
58205.4	24.9	Measurement	38.4	0	0
58538.3	23.5	Initiate Peak	38.4	0	47
59263.4	24.7	Measurement	38.4	0	47
59654.4	25	Measurement	38.9	0	47
60037.4	23.3	Measurement	39.8	0	47
60420.4	24.4	Measurement	40.6	0	47
60803.3	24.1	Measurement	41.4	0	47
61186.4	25.8	Measurement	42.2	0	47
61569.4	24.9	Measurement	43	0	47
61952.4	28.1	Measurement	43.9	0	47
62335.5	24.9	Measurement	44.7	0	47
62718.4	25.2	Measurement	45.5	0	47
63101.4	26.4	Measurement	46.9	0	47
63151.4	23.9	Peak Temperature	46.9	0	47
63475.6	26.3	Measurement	0	0	38
63667.7	25.2	Measurement	45.6	0	38
63850.6	31.6	Measurement	44.7	0	38
64050.6	25.5	Measurement	43.7	0	38
64233.7	26	Measurement	42.7	0	38
64417.7	26.6	Measurement	41.8	0	38
64600.6	26.8	Measurement	40.8	0	38
64783.9	25.7	Measurement	39.9	0	38
64966.6	25.8	Measurement	39	0	38
65149.6	27.4	Measurement	38.5	0	38
65533.4	26.3	Measurement	38.3	0	0
65916.4	25.9	Measurement	38.4	0	0
66300.4	29.4	Measurement	38.4	0	0
66698.5	26.5	Measurement	38.4	0	0
67082.3	27.6	Measurement	38.4	0	0
67465.4	27.2	Measurement	38.4	0	0
67850.2	27.7	Measurement	38.4	0	0
68247.5	27.3	Measurement	38.4	0	0
68630.4	28.2	Measurement	38.4	0	0
69013.4	29.5	Measurement	38.4	0	0
69347.4	29.1	Initiate Peak	38.4	0	48
70078.4	28.9	Measurement	38.5	0	48
70462.4	28.5	Measurement	38.9	0	48
70845.4	29.1	Measurement	39.8	0	48
71237.4	29.9	Measurement	40.6	0	48
71628.4	29	Measurement	41.4	0	48
72011.4	29.7	Measurement	42.3	0	48
72394.4	29.7	Measurement	43.1	0	48
