time	time_uncertainty	Event	Temperature	VAS	Target_temperature
488.1	1.2	Initialised	0	0	0
2348.4	2	Measurement	37.9	0	38
2733.3	2.1	Measurement	38	0	0
3097.3	2.1	Measurement	38	0	0
3464.3	2.3	Measurement	38	0	0
3830.3	2.3	Measurement	38	0	0
4197.3	2.5	Measurement	38	0	0
4563.3	2.7	Measurement	38	0	0
4929.3	2.8	Measurement	38	0	0
5296.3	2.9	Measurement	37.7	0	0
5662.3	3	Measurement	37.9	0	0
6028.3	3	Measurement	38	0	0
6395.3	3.2	Measurement	38	0	0
6761.3	3.3	Measurement	38.1	0	0
7128.3	3.3	Measurement	38.1	0	0
7496.3	3.8	Measurement	38	0	0
7862.5	6.1	Measurement	38	0	0
8241.2	6.5	Measurement	38	0	0
8622.3	3.9	Measurement	38	0	0
8993.3	4	Measurement	38	0	0
9363.3	4.1	Measurement	38	0	0
9727.5	4.3	Measurement	38	0	0
10092.3	4.5	Measurement	38	0	0
10458.3	4.5	Measurement	38	0	0
10775.3	4.7	Initiate Peak	38	0	42
11131.3	7.3	Measurement	38	0	42
11508.3	4.9	Measurement	39	0	42
11874.3	5	Measurement	40.7	0	42
12240.3	5.2	Measurement	42.4	0	42
12273.8	5.3	Peak Temperature	42.4	0	42
12579.4	5.8	Measurement	41.5	0	38
12740.4	5.5	Measurement	40.7	0	38
12906.5	5.5	Measurement	40	0	38
13073.4	5.8	Measurement	39.2	0	38
13239.5	7	Measurement	38.5	0	38
13606.3	6.2	Measurement	38.1	0	0
13972.6	6.3	Measurement	38	0	0
14339.3	6.4	Measurement	38.1	0	0
14705.3	6.4	Measurement	38.1	0	0
15073.3	6.6	Measurement	38	0	0
15439.4	6.9	Measurement	38	0	0
15806.4	6.8	Measurement	38	0	0
16172.3	6.9	Measurement	38	0	0
16537.3	7.1	Measurement	38	0	0
16903.4	7.1	Measurement	38	0	0
17220.3	9	Initiate Peak	38	0	46
17581.3	7.6	Measurement	38.1	0	46
17953.3	7.6	Measurement	39	0	46
18319.3	7.8	Measurement	40.8	0	46
18685.3	10.3	Measurement	42.4	0	46
19052.3	9.9	Measurement	44	0	46
19418.3	8.2	Measurement	45.9	0	46
19451.6	7.9	Peak Temperature	45.9	0	46
19759.4	8.5	Measurement	46.3	0	38
19934.5	10.5	Measurement	45.6	0	38
20101.4	8.8	Measurement	44.8	0	38
20267.5	10.7	Measurement	44	0	38
20434.4	9.3	Measurement	43.3	0	38
20600.5	9.2	Measurement	42.4	0	38
20767.4	9.2	Measurement	41.6	0	38
20934.4	9.5	Measurement	40.8	0	38
21100.4	9.5	Measurement	39.9	0	38
21266.4	9.6	Measurement	39.1	0	38
21434.4	9.9	Measurement	38.4	0	38
21800.3	12.1	Measurement	38.1	0	0
22166.3	9.9	Measurement	38.1	0	0
22532.3	24.7	Measurement	38.1	0	0
22917.3	9.8	Measurement	38.1	0	0
23284.3	10.3	Measurement	38.1	0	0
23652.3	10.3	Measurement	38.1	0	0
24033.3	10.4	Measurement	38.1	0	0
24398.3	10.7	Measurement	38.1	0	0
24765.3	13.2	Measurement	38.1	0	0
25147.3	11.1	Measurement	38.2	0	0
25464.3	13.5	Initiate Peak	38.2	0	50
25829.3	10.7	Measurement	38.2	0	50
26196.3	11.2	Measurement	39.2	0	50
26562.3	11.9	Measurement	41	0	50
26929.3	13.4	Measurement	42.6	0	50
27312.3	12.2	Measurement	44.2	0	50
27678.3	20.1	Measurement	45.7	0	50
28061.3	12.1	Measurement	47.4	0	50
28428.3	14.1	Measurement	50	0	50
28477.9	11.8	Peak Temperature	50	0	50
28789.4	11.8	Measurement	50.7	0	38
28960.4	13.9	Measurement	50.1	0	38
29144.4	12.5	Measurement	49.2	0	38
29310.5	12.8	Measurement	48.5	0	38
29477.4	13	Measurement	47.6	0	38
29643.6	12.9	Measurement	47.6	0	38
29810.6	13.1	Measurement	46.8	0	38
29996.6	12.8	Measurement	45.9	0	38
30176.6	15.1	Measurement	45	0	38
30359.6	13.1	Measurement	44	0	38
30526.6	13	Measurement	43	0	38
30692.7	13.8	Measurement	42.1	0	38
30876.6	15.3	Measurement	41.2	0	38
31059.5	55.6	Measurement	40.3	0	38
31280.5	13.8	Measurement	39.3	0	38
31458.5	16.3	Measurement	38.4	0	38
31842.4	16.4	Measurement	38.2	0	0
32226.4	14.5	Measurement	38.2	0	0
32609.3	60.4	Measurement	38.3	0	0
33027.4	14.1	Measurement	38.3	0	0
33407.3	14.8	Measurement	38.3	0	0
33797.3	16.7	Measurement	38.3	0	0
34124.3	16.9	Initiate Peak	38.3	0	53
34842.3	17.6	Measurement	38.4	0	53
35223.3	15.4	Measurement	39.2	0	53
35606.4	15.8	Measurement	41.1	0	53
35988.4	15.5	Measurement	42.8	0	53
36372.3	17.2	Measurement	44.4	0	53
36755.4	18	Measurement	46.1	0	53
37138.6	745.8	Measurement	47.7	0	53
38253.3	17.1	Measurement	52.9	0	53
38303.6	15.5	Peak Temperature	52.9	0	53
38622.5	15.7	Measurement	0	0	38
38803.5	63.9	Measurement	51.4	0	38
39036.9	27.2	Measurement	50.5	0	38
39219.8	22.8	Measurement	49.2	0	38
39402.6	26.7	Measurement	48.3	0	38
39585.7	27.9	Measurement	47.3	0	38
39769.5	19	Measurement	46.3	0	38
39952.5	22.6	Measurement	45.3	0	38
40135.6	18	Measurement	44.2	0	38
40320.5	19.9	Measurement	43.2	0	38
40501.5	19.6	Measurement	42.2	0	38
40685.5	20.5	Measurement	41.3	0	38
40868.5	18.7	Measurement	40.3	0	38
41051.6	18.2	Measurement	39.4	0	38
41234.8	415.6	Measurement	38.6	0	38
42017.4	20	Measurement	38.4	0	0
42402.3	18.8	Measurement	38.5	0	0
42785.3	20.4	Measurement	38.5	0	0
43168.4	18.3	Measurement	38.5	0	0
43551.3	21.8	Measurement	38.5	0	0
43934.3	21.7	Measurement	38.5	0	0
44317.4	18.8	Measurement	38.5	0	0
44700.4	18.8	Measurement	38.5	0	0
45083.3	18.8	Measurement	38.6	0	0
45466.4	21.6	Measurement	38.6	0	0
45849.3	21.2	Measurement	38.6	0	0
46232.3	21.6	Measurement	38.6	0	0
46615.4	19.6	Measurement	38.6	0	0
46998.3	20	Measurement	38.6	0	0
47381.3	22	Measurement	38.6	0	0
47764.3	23.1	Measurement	38.6	0	0
48147.3	20.3	Measurement	38.6	0	0
48530.3	20	Measurement	38.6	0	0
48913.3	20.1	Measurement	38.6	0	0
49299.3	22.8	Measurement	38.6	0	0
49679.4	23.5	Measurement	38.6	0	0
50061.4	21.1	Measurement	38.6	0	0
50444.4	20.3	Measurement	38.6	0	0
50777.3	20.9	Initiate Peak	38.6	0	33
51499.3	21.8	Measurement	38.6	0	33
51876.4	23.4	Measurement	37.4	0	33
52259.4	23.6	Measurement	35.8	0	33
52642.4	21.4	Measurement	32.9	0	33
52692.4	21.4	Peak Temperature	32.9	0	33
53013.5	24.3	Measurement	0	0	38
53192.6	22.3	Measurement	33.9	0	38
53375.5	24.3	Measurement	35.1	0	38
53558.6	23.4	Measurement	36.2	0	38
53741.6	21.9	Measurement	37.2	0	38
54124.4	24.7	Measurement	38.1	0	0
54507.3	24.6	Measurement	38.7	0	0
54890.3	22.6	Measurement	38.7	0	0
55274.3	22.8	Measurement	38.6	0	0
55656.3	23	Measurement	38.6	0	0
56040.3	25.5	Measurement	38.6	0	0
56423.3	26.2	Measurement	38.6	0	0
56806.4	24.1	Measurement	38.6	0	0
57189.6	23.1	Measurement	38.6	0	0
57572.3	23.4	Measurement	38.6	0	0
57955.3	25.3	Measurement	38.6	0	0
58338.3	27.5	Measurement	38.6	0	0
58722.7	24	Measurement	38.6	0	0
59105.7	25.2	Measurement	38.6	0	0
59487.3	24	Measurement	38.6	0	0
59870.4	26.7	Measurement	38.6	0	0
60253.3	40.7	Measurement	38.6	0	0
60653.4	24.6	Measurement	38.6	0	0
61036.3	26.4	Measurement	38.6	0	0
61419.5	27.7	Measurement	38.6	0	0
61802.3	27.7	Measurement	38.6	0	0
62185.3	26.6	Measurement	38.6	0	0
62568.4	26.2	Measurement	38.5	0	0
62951.4	27.3	Measurement	38.5	0	0
63334.3	27.4	Measurement	38.5	0	0
63717.4	28.1	Measurement	38.5	0	0
64050.4	28.1	Initiate Peak	38.5	0	33
64780.3	27.9	Measurement	38.4	0	33
65166.4	27.4	Measurement	37.3	0	33
65549.3	29	Measurement	33.9	0	33
65932.4	29.5	Measurement	32.9	0	33
65982	25.8	Peak Temperature	32.9	0	33
66307.5	27.2	Measurement	0	0	38
66498.5	29.4	Measurement	34.3	0	38
66681.5	26.9	Measurement	35.6	0	38
66864.5	29.1	Measurement	36.6	0	38
67047.6	26.3	Measurement	37.5	0	38
67447.3	45.6	Measurement	38.3	0	0
67851.3	51.5	Measurement	38.7	0	0
68296	63.1	Measurement	38.5	0	0
68736.3	45.8	Measurement	38.5	0	0
69147.3	28.2	Measurement	38.5	0	0
69533.3	30.2	Measurement	38.5	0	0
69929.3	30.8	Measurement	38.4	0	0
70328.3	31.3	Measurement	38.4	0	0
70728.3	29.4	Measurement	38.4	0	0
71111.3	29.8	Measurement	38.4	0	0
71445.3	30.7	Initiate Peak	38.4	0	28
72177.3	31.5	Measurement	38.4	0	28
72577.3	32	Measurement	37.2	0	28
72976.3	29.6	Measurement	35.4	0	28
73359.4	31.2	Measurement	33.7	0	28
73759.3	31.6	Measurement	32.2	0	28
74159.3	30.3	Measurement	28.8	0	28
74558.3	30.4	Measurement	27.9	0	28
74608.6	30.1	Peak Temperature	27.9	0	28
74939.4	30.2	Measurement	0	0	38
75124.4	32.3	Measurement	29.7	0	38
75324.4	29.8	Measurement	30.8	0	38
75524.5	32	Measurement	31.9	0	38
75724.5	30.3	Measurement	32.9	0	38
75924.4	51.6	Measurement	33.9	0	38
76140.4	30.8	Measurement	35	0	38
76340.5	34.9	Measurement	36.2	0	38
76540.5	34	Measurement	37.2	0	38
76940.3	32.7	Measurement	38.2	0	0
77340.3	32.8	Measurement	38.7	0	0
77739.3	31.8	Measurement	38.5	0	0
78139.3	30.5	Measurement	38.5	0	0
78539.3	34	Measurement	38.5	0	0
78939.7	34.1	Measurement	38.5	0	0
79338.3	35.2	Measurement	38.5	0	0
79738.3	31.1	Measurement	38.5	0	0
80138.6	31.8	Measurement	38.5	0	0
80537.3	33.9	Measurement	38.5	0	0
80937.3	35.5	Measurement	38.5	0	0
81336.3	33.7	Measurement	38.5	0	0
81736.4	31.6	Measurement	38.5	0	0
82139.3	32.8	Measurement	38.5	0	0
82537.3	35.2	Measurement	38.5	0	0
82937.3	45.2	Measurement	38.5	0	0
83353.5	36.5	Measurement	38.5	0	0
83753.3	35.2	Measurement	38.5	0	0
84151.3	32.4	Measurement	38.5	0	0
84551.3	36.1	Measurement	38.5	0	0
84900.3	74.5	Initiate Peak	38.5	0	23
85676.3	36.6	Measurement	38.4	0	23
86066.3	34.3	Measurement	37	0	23
86466.3	35.5	Measurement	35.3	0	23
86866.3	35.7	Measurement	33.6	0	23
87265.3	37.8	Measurement	31.9	0	23
87665.3	36.3	Measurement	30.3	0	23
88065.3	34.3	Measurement	28.6	0	23
88464.3	37.7	Measurement	26.9	0	23
