time	time_uncertainty	Event	Temperature	VAS	Target_temperature
280.4	3.6	Initialised	0	0	0
2142.5	1.9	Measurement	37.6	0	38
2527.3	2	Measurement	37.7	0	0
2891.3	2.2	Measurement	37.9	0	0
3258.3	2.3	Measurement	37.9	0	0
3624.4	2.5	Measurement	38	0	0
3990.3	2.5	Measurement	38	0	0
4357.4	2.6	Measurement	38	0	0
4725.3	2.6	Measurement	38	0	0
5089.4	2.8	Measurement	38	0	0
5456.3	3	Measurement	38	0	0
5822.3	3.4	Measurement	38	0	0
6189.3	3.1	Measurement	38	0	0
6555.3	3.3	Measurement	38	0	0
6921.3	3.3	Measurement	38	0	0
7288.3	3.6	Measurement	38	0	0
7654.3	3.8	Measurement	38	0	0
7971.3	3.7	Initiate Peak	38	0	39
8326.3	3.8	Measurement	38.1	0	39
8688.3	4	Measurement	38.9	0	39
8720.2	4.1	Peak Temperature	38.9	0	39
9024.4	4.3	Measurement	39	0	38
9186.5	4.4	Measurement	38.3	0	38
9553.3	4.7	Measurement	38	0	0
9919.3	4.8	Measurement	38.1	0	0
10286.9	4.6	Measurement	38.1	0	0
10652.3	4.8	Measurement	38.1	0	0
11018.5	5	Measurement	38.1	0	0
11386.3	5.2	Measurement	38.1	0	0
11751.3	5.4	Measurement	38	0	0
12119.3	5.2	Measurement	38.1	0	0
12484.3	5.5	Measurement	38.1	0	0
12850.5	5.9	Measurement	38.1	0	0
13217.4	6.3	Measurement	38.1	0	0
13583.3	5.6	Measurement	38.1	0	0
13899.3	6	Initiate Peak	38.1	0	40
14257.3	6.1	Measurement	38.1	0	40
14632.5	7	Measurement	40	0	40
14665.6	6.2	Peak Temperature	40	0	40
14971.5	6.5	Measurement	40.7	0	38
15131.5	7.8	Measurement	40.1	0	38
15298.5	7.9	Measurement	39.3	0	38
15465.5	7.9	Measurement	38.5	0	38
15831.3	7.4	Measurement	38.1	0	0
16198.3	7.2	Measurement	38.1	0	0
16564.3	7.3	Measurement	38.2	0	0
16930.3	8.5	Measurement	38.1	0	0
17297.3	8.9	Measurement	38.1	0	0
17663.3	7.8	Measurement	38.1	0	0
18031.3	7.7	Measurement	38.1	0	0
18396.3	7.9	Measurement	38.1	0	0
18762.3	9.3	Measurement	38.1	0	0
19129.3	9.4	Measurement	38.1	0	0
19495.3	8.3	Measurement	38.1	0	0
19861.3	8.5	Measurement	38.1	0	0
20228.3	8.3	Measurement	38.1	0	0
20544.3	13.4	Initiate Peak	38.1	0	41
20909.3	9.4	Measurement	38.1	0	41
21277.3	9	Measurement	39.1	0	41
21643.3	9	Measurement	40.9	0	41
21676.9	8.7	Peak Temperature	40.9	0	41
21986.4	9.2	Measurement	40.9	0	38
22159.6	10.1	Measurement	40.9	0	38
22326.6	9.7	Measurement	40	0	38
22492.7	9.6	Measurement	39.2	0	38
22659.6	9.7	Measurement	38.5	0	38
23026.4	9.7	Measurement	38.2	0	0
23392.4	9.8	Measurement	38.1	0	0
23759.4	11.3	Measurement	38.3	0	0
24125.4	11	Measurement	38.3	0	0
