time	time_uncertainty	Event	Temperature	VAS	Target_temperature
1828.1	1.3	Initialised	0	0	0
3713.4	2	Measurement	37.9	0	38
4099.3	2	Measurement	38	0	0
4463.3	2.1	Measurement	38	0	0
4829.3	2.3	Measurement	38	0	0
5196.3	2.3	Measurement	38	0	0
5564.3	2.4	Measurement	38	0	0
5930.3	2.5	Measurement	38	0	0
6295.3	2.9	Measurement	38	0	0
6661.3	2.8	Measurement	38	0	0
7028.3	3	Measurement	38	0	0
7394.3	3	Measurement	38	0	0
7761.4	5.4	Measurement	38	0	0
8077.3	3.3	Initiate Peak	38	0	40
8431.3	3.4	Measurement	38	0	40
8793.3	3.5	Measurement	40	0	40
8826.5	3.6	Peak Temperature	40	0	40
9130.4	3.7	Measurement	41	0	38
9292.4	3.9	Measurement	40.3	0	38
9459.5	4.1	Measurement	39.5	0	38
9625.4	4.2	Measurement	38.7	0	38
9992.3	4.4	Measurement	38.1	0	0
10358.3	4.4	Measurement	38	0	0
10725.3	4.6	Measurement	38.1	0	0
11091.3	4.6	Measurement	38.1	0	0
11458.3	4.8	Measurement	38	0	0
11825.3	4.8	Measurement	38	0	0
12191.3	5.1	Measurement	38	0	0
12557.3	5.5	Measurement	38	0	0
12924.3	5.4	Measurement	38	0	0
13289.3	5.2	Measurement	38	0	0
13656.3	5.5	Measurement	38	0	0
14022.3	5.4	Measurement	38	0	0
14389.3	6	Measurement	38	0	0
14755.3	5.6	Measurement	38	0	0
15121.3	6	Measurement	38	0	0
15488.3	5.9	Measurement	38.1	0	0
15854.3	6.1	Measurement	38.1	0	0
16221.3	6.1	Measurement	38.1	0	0
16587.3	6.4	Measurement	38.1	0	0
16953.3	6.3	Measurement	38	0	0
17320.3	6.4	Measurement	38.1	0	0
17686.3	6.5	Measurement	38.1	0	0
18053.1	19.9	Measurement	38.1	0	0
18436.5	10.6	Measurement	38.1	0	0
18804.5	12.5	Measurement	38.1	0	0
19185.3	7.1	Measurement	38.1	0	0
19551.3	7.1	Measurement	38.1	0	0
19868.3	7.4	Initiate Peak	38.1	0	42
20227.3	7.4	Measurement	38.1	0	42
20600.3	7.7	Measurement	39.3	0	42
20967.3	7.7	Measurement	41.9	0	42
21000.4	7.8	Peak Temperature	41.9	0	42
21308.4	7.8	Measurement	42.3	0	38
21483.4	8.3	Measurement	41.5	0	38
21649.4	8.1	Measurement	40.7	0	38
21816.5	8.3	Measurement	39.9	0	38
21982.4	8.5	Measurement	39.1	0	38
22149.5	8.4	Measurement	38.4	0	38
22516.3	8.6	Measurement	38.1	0	0
22882.3	8.7	Measurement	38.2	0	0
23248.3	8.9	Measurement	38.2	0	0
23616.3	9.1	Measurement	38.2	0	0
